,PRODUCT_ID,TITLE,BULLET_POINTS,DESCRIPTION,PRODUCT_TYPE_ID,PRODUCT_LENGTH
2033951,615251,Ecrits evangeliques,,,1,535.432
733711,2370656,SWATI Cosmetics Coloured Lenses Turquoise 6 Month Contact Lenses (-1.5),"[Designed specifically for the youth, these lenses will suit both your pocket and personality.,No redness, irritation or dryness,Extremely soft and comfortable,Uv protected lenses,Good for prolonged usage,Premium coloured contact lenses, 1 pair (2pcs),]","IT'S A LOVE STORY! The story ofSWATI starts with two people falling in love. Vishal Nanda meetsSWATI Verma. Boom. Like all great love stories, it transcends borders. Vishal is an experienced Swedish entrepreneur,SWATI a well-known Indian makeup artist and social media profile. He’s struck by her appearance and how it changes with every mood and occasion. A natural beauty one day. Dressed to impress the next. Yet she always looks like herself. Confident. Stylish. Remarkably enough, even her eyes seem to change. From bright to dark and back again. He asks. “Coloured lenses,” she replies smiling. The rest is, as they say, history.Long-lasting soft contact lenses, tested and certified for 6-months use. Package includes 2 vials (1 pair of lenses), soft tip tweezers and a lens case. Long seen as a gift from the gods, turquoise balances power with beauty. Just as this tone balances green with blue and a tinge of gold lining the pupil. Beauty or power, why choose? This beautiful shade is a mix of light blue and green with a tinge of grey and yellow outside the pupil giving a very bright look to the eyes. With a slight limbal ring on the outer edges for sharpness & big prominent eyes, It can turn dark brown or black eyes into natural-looking light-eyed beauty.",2799,196.8503935
2217273,789207,Save the Last Dance for Me,,,811,500.0
937368,1913498,Harpa Women's Relaxed Pants (J609-OLIVE-34-424409_Olive_34),"[Type: Pleated,Closure: Drawstring,Waist Rise: Mid-Rise,Fit: Smart,Pattern: Solid]",,3081,1401.572
733594,2903580,"Vicky Mobiles U&me Long time Durable Data Cable UiDC-4194 2.4 A 1 m Micro USB Cable (Compatible with All Micro USB Device, White, One Cable)","[Length 1 m,Round Cable,Connector One: USB Type A|Connector Two: Micro USB,Cable Speed: 580 Mbps,Mobile]","U&I Glory Series Micro USB data charging cables are uniquely made and are positioned to provide the best comfort and performance while using and enables you to connect micro USB port devices to a laptop, Printer, Mobile and similar devices. This Cable is 1 m long which makes it a tangle-free and convenient piece to carry around. This Glory Series Data Cable is reliable and flexible accessory to have by making it safe and secure to use and ensures uninterrupted data transmission too with current transfer of 2.4 A, this cable supports fast charging of your devices (mobiles, tablets, speakers, etc) as well as high speed transfer of data with the speed of 580 mbps.",2206,787.401574
782112,2306627,Campus Sutra Men's Striped Regular Shirt (CT21SHRT_CSMSSSH080_L_Navy Blue L),Campus Sutra Men shirts:Men half sleeve shirts,,2851,1456.69
1530309,1878341,Automatic Soap Dispenser 350ML Induction Foam Wash Mobile Leak-Proof Waterproof Adjustable Soap Dispenser Suitable Automatic Touchless Soap Dispenser for Home Office School,"[Smart sensor: our products use ultra-infrared sensors, no need to press, you only need to put your hands in the detection area, soap will produce foam automatically come out, it is safer to use.,Time-saving and water-saving: When using a soap dispenser, you need to dilute the soap liquid with water in a ratio of 1: 4. After stirring until it dissolves, rich foam will appear and ，you can clean your hand.The intelligent sensor soap dispenser allows you to enjoy a healthy way of washing your hands, away from diseases. Let your child consciously develop good hand washing habits.,Environmentally friendly and transparent: The soap dispenser is made of non-toxic ABS and AS materials. Due to the transparent color, it is convenient to show you the internal volume of the soap liquid. You can replenish and replace the soap at any time, which is more convenient and tough to use Durable and long service life.,Beautiful design: the product uses two colors of white and blue, simple and stylish, it can be perfectly combined with any bathroom or kitchen, which can not only give you a comfortable experience, but also decorate your room.,Scope of application: Suitable for all kinds of soap liquids, such as hand sanitizer and detergent, it can effectively reduce the risk of contact with bacteria, can effectively avoid cross infection, you can put it in the kitchen, bathroom, or in the office Schools and hospitals ,very convenient to carry.]","<b>Why choose automatic foam soap dispenser</b><br /><br /> We all know that most viruses and bacteria are spread by hands, so it is very important to keep your hands clean. Using an automatic foam soap dispenser, you only need to put your hands in the detection area and the foam will come out automatically, which can effectively Prevent the spread of germs.  <br /><b></b><br /><b></b><b>specification:</b><br /><br /> Commodity: soap dispenser<br /> Material: ABS + AS<br /> quantity: 1<br /> Color:  White<br /> Capacity: 350 ml<br /> size:<br /> Net weight: 8.6kg<br /> Sensor Range: 3-5cm.",1683,465.0
1433572,899872,"Hello Kitty Kurt Adler HK7903 Plush Head Stocking with Wings and Wand, 23-Inch","[23-Inch stocking,Acrylic/Polyester,Hello Kitty Stocking]",,8501,1300.0
763626,1407726,"SMSL A8 HIFI Audio Digital Power Amplifier DAC and Headphone Amplifier Uses Latest XMOS Solution and ICEpower 125Wx2 Module and AK4490 DAC,Supports PCM 768khz DSD512","[Advantage: Ice Power 125ASX2 used as amplifier module which featured with big power output and ultra low distortion,Superior DAC chip AK4490, which is advanced performance and floating point arithmetic Digital Filter are only used by some top brands,Using TPA6120 headphone driver and the 2nd gerneration of XMOS USB audio solution Xcore 200XU208, supports PCM sampling rate up to 768 K and native DSD512,Driver is exclusively eye on the supports Native DSD, which is very advanced in audio range,ASRC function can delete clock jitter from digital receiving signal, built-in phono stage, and patented SMSL dynamic bass sound with remote control]","A8 Digital Amplifier developed and launched with co operation from ice power company<br> <b>Specification:</b><br> Type: Power amplifier DAC and Headphone Amplifier<br> Input: USB/OPTICALX2/Single ALX2 ANALOGX2/mm phono<br> Output: Analog/DAC/RCA output<br> THD + N: DAC 0.0017%<br> & # x3000; & # x3000; & # x3000; headphones 0.0037%<br> & # x3000; & # x3000; & # x3000; speakers 0.007%<br> Dynamic Range: 118 dB DAC<br> DAC SNR: 110 dB<br> Headphones: 101 dB<br> Speakers 120 dB<br> USB transmission: * The Chroniz<br> USB Compatibility: Windows XP/7/8/8.1/10, Mac OSX10.6 or later, Linux<br> Bit Depth: USB 16 bit 24bit 32bit 1bit<br> Optical/Coaxial: 16 bit 24<br> Sampling Rate: USB PCM 44.1 KHZ <br>768kHz/2.8224MHz/22.5792MHz<br> Optical/Coaxial: 44.1kHz - 192kHz<br> Amplifier power: 4 Ohm 125WX2<br> Ohm 75WX2<br> Headphone Amplifier Power:<br> Ohm 43mW<br> 64ohm 35mW<br> 150 Ohms 23mW<br> 300ohm 14mW<br> DAC output level: 2Vrms<br> Amplifier consumption: 90 W<br> Standby Power: 4.5 W<br> The unit size: 25x20.5x5 cm<br> Weight: 2.6kg<br> Voltage selector: 120 V or 220 - 240 V AC<br>",4,984.0
1577308,592476,Minefield: 2 (Deadly Gambit),,,12743,525.0
